Autor;Título;Ano;Edição;1ª edição?;Editora;Cidade;Assinado?;Situação na coleção;Tipo;Descrição completa;Comentários;Leiloeiro;UF;Data do pregão;Lance inicial (R$);Valor final (R$);Status;Link;Imagem;ID leilão;ID lote;Detectado em
Rui Barbosa;Raro livro Ruy Barbosa;1917;1ª;sim;;;;desconhecido_novo;livro;Raro livro Ruy Barbosa por Oswaldo Cruz 1917 1a Edição;por Oswaldo Cruz 1917 1a Edição;Daniel Bastos Leiloeiro Público;RJ;3/8/2026 19h;100,00;;em_andamento;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://www.danielbastosleiloeiro.com.br|63294|31610174;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/63294/31610174.jpg;63294;31610174;2026-07-19T18:10:48+00:00
Machado de Assis;Machado;1937;;;W. M. Jackson;;;ja_tenho_outra_edicao;livro;"Machado de Assis; Poesias Completas; 1937; Editora:W. M. Jackson inc. Livro antigo, com forte oxidação e amarelado nas laterais e no decorrer das páginas. Apresenta marcas de manuseio compatíveis com o tempo de uso. Desgastes visíveis nas extremidades. Possui rasura nas primeiras folhas. Dimensões: 15cm x 21cm x 6cm. Peso: 0,960kg";"de Assis; Poesias Completas; 1937; Editora:W. M. Jackson inc. Livro antigo, com forte oxidação e amarelado nas laterais e no decorrer das páginas. Apresenta marcas de manuseio compatíveis com o tempo de uso. Desgastes visíveis nas extremidades. Possui rasura nas primeiras folhas. Dimensões: 15cm x 21cm x 6cm. Peso: 0,960kg";Livros Universo - Livros Raros e Antiguidades;SP;21/7/2026 20h;40,00;40,00;vendido;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://leiloes.livrosuniverso.com.br|63657|31696658;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/63657/31696658.jpg;63657;31696658;2026-07-16T00:13:19+00:00
Rui Barbosa;Réplica do Senador Ruy Barbosa;1902;;;;;;ja_tenho_mesma_edicao;livro;"Projeto de Código Civil Brasileiro ""Réplica do Senador Ruy Barbosa"" às defesas da redacção do projeto da Câmara dos Deputados (em Dezembro de 1902). Livro em estado regular de conservação; páginas amareladas e oxidadas em função do tempo; encadernação antiga, com desgastes em função do tempo e do manuseio. 367 pp. Tamanho: 28 x 20 cm. Livro raro, encadernação antiga, capa dura com pequeno dano, vendido no estado. Livro diferenciado DE COLEÇÃO PARTICULAR. Este exemplar de colecionador apresenta marcas do tempo, folhas amareladas e manuseio. Livro importante para restauro devido seu estado.";"Projeto de Código Civil Brasileiro """" às defesas da redacção do projeto da Câmara dos Deputados (em Dezembro de 1902). Livro em estado regular de conservação; páginas amareladas e oxidadas em função do tempo; encadernação antiga, com desgastes em função do tempo e do manuseio. 367 pp. Tamanho: 28 x 20 cm. Livro raro, encadernação antiga, capa dura com pequeno dano, vendido no estado. Livro diferenciado DE COLEÇÃO PARTICULAR. Este exemplar de colecionador apresenta marcas do tempo, folhas amareladas e manuseio. Livro importante para restauro devido seu estado.";Carlucio Leite Arte e Leilões;RJ;25/7/2026 19h;100,00;;em_andamento;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://www.carlucioleite.com.br|60578|31411444;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60578/31411444.jpg;60578;31411444;2026-07-16T00:13:19+00:00
Olavo Bilac;;1921;;;;;;ja_tenho_outra_edicao;livro;LIVRO / POESIAS / OLAVO BILAC / ano 1921 / obra com mas de 110 anos em bom estado geral / miolo firme;LIVRO / POESIAS / OLAVO BILAC / ano 1921 / obra com mas de 110 anos em bom estado geral / miolo firme;Ana Mello Leiloeira;RJ;22/7/2026 18h;50,00;;encerrado_sem_dado;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://www.anamelloleiloeira.com.br|63085|31648387;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/63085/31648387.jpg;63085;31648387;2026-07-13T20:02:52+00:00
Castro Alves;;1881;;;;;;desconhecido_novo;livro;"Castro Alves (1881); livro capa dura; 16x23cm; 397 páginas; em bom estado de conservação, sem página de apresentação, com desgastes por manuseio nas bordas da capa.";"Castro Alves (1881); livro capa dura; 16x23cm; 397 páginas; em bom estado de conservação, sem página de apresentação, com desgastes por manuseio nas bordas da capa.";Bruce Angeiras Leilões;RJ;18/8/2026 15h;10,00;10,00;vendido;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://www.bruceangeirasleiloeiro.com.br|62273|31120998;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62273/31120998.jpg;62273;31120998;2026-07-13T20:02:52+00:00
Machado de Assis;Machado;1939;;;;;;ja_tenho_outra_edicao;livro;"Machado de Assis (1939); de Mário Matos; editora Companhia Nacional; livro capa dura; 13x19cm; 451 páginas; em bom estado de conservação.";"de Assis (1939); de Mário Matos; editora Companhia Nacional; livro capa dura; 13x19cm; 451 páginas; em bom estado de conservação.";Bruce Angeiras Leilões;RJ;14/7/2026 15h;20,00;40,00;vendido;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://www.bruceangeirasleiloeiro.com.br|61635|30296772;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61635/30296772.jpg;61635;30296772;2026-07-12T18:11:30+00:00
J. M. Pereira da Silva;"Os Varões Illustres do Brazil tomo segundo (1868);";1868;;;B. L. Garnier;;;desconhecido_novo;livro;"Os Varões Illustres do Brazil tomo segundo (1868); de J. M. Pereira da silva; editora Livraria de B. L. Garnier; livro capa dura; 12x18cm; 365 páginas; em bom estado de conservação, com uma página inicial solta no interior do livro.";"de J. M. Pereira da silva; editora Livraria de B. L. Garnier; livro capa dura; 12x18cm; 365 páginas; em bom estado de conservação, com uma página inicial solta no interior do livro.";Bruce Angeiras Leilões;RJ;15/7/2026 15h;30,00;70,00;vendido;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://www.bruceangeirasleiloeiro.com.br|61635|30320359;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61635/30320359.jpg;61635;30320359;2026-07-12T18:11:30+00:00
Joaquim Manuel de Macedo;;1876;;;;;;desconhecido_novo;livro;"COLEÇÃO COM 3 VOLUMES - Anno Biographico Brazileiro vol I, II e III (1876); de Joaquim Manoel de Macedo; editora Typographia e Lithographia do Imperial Instituto Artistico; livros capa dura; 14x21cm; em bom estado de conservação, com furos por ataque de insetos marginais em bordas de páginas.";"COLEÇÃO COM 3 VOLUMES - Anno Biographico Brazileiro vol I, II e III (1876); de Joaquim Manoel de Macedo; editora Typographia e Lithographia do Imperial Instituto Artistico; livros capa dura; 14x21cm; em bom estado de conservação, com furos por ataque de insetos marginais em bordas de páginas.";Bruce Angeiras Leilões;RJ;16/7/2026 15h;50,00;;vendido;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://www.bruceangeirasleiloeiro.com.br|61635|30859100;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61635/30859100.jpg;61635;30859100;2026-07-12T18:11:30+00:00
Medeiros e Albuquerque;Se eu fosse Sherlock Holmes;1932;;;Francisco Alves;;;ja_tenho_mesma_edicao;livro;Se eu fosse Sherlock Holmes por Medeiros e Albuquerque, 1932, Livraria Francisco Alves com 226 pgs.;por Medeiros e Albuquerque, 1932, Livraria Francisco Alves com 226 pgs.;Antiguitati Leilões;RJ;17/7/2026 14h;70,00;70,00;vendido;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://www.antiguitati.com.br|63310|31540358;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/63310/31540358.jpg;63310;31540358;2026-07-12T18:11:30+00:00
Artur Azevedo;Vida Alheia;1929;1ª;sim;Leite Ribeiro com;;;ja_tenho_mesma_edicao;livro;Vida Alheia por Arthur Azevedo, rara 1ª edição (obra Póstuma) 1929, Editora Leite Ribeiro com 291 pgs;por Arthur Azevedo, rara 1ª edição (obra Póstuma) 1929, Editora Leite Ribeiro com 291 pgs;Antiguitati Leilões;RJ;17/7/2026 14h;70,00;70,00;vendido;https://www.leiloesbr.com.br/abre_catalogo.asp?t=1|http://www.antiguitati.com.br|63310|31540357;https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/63310/31540357.jpg;63310;31540357;2026-07-12T18:11:30+00:00
